Time,v(clk),v(data),v(out)
1.43693440000000e-09,0.00000000000000e+00,0.00000000000000e+00,-4.98112309193013e-05
2.77911168000000e-09,0.00000000000000e+00,0.00000000000000e+00,8.62696643267533e-05
5.00000000000000e-09,0.00000000000000e+00,0.00000000000000e+00,-1.97498295635892e-05
5.01000000000000e-09,5.99999999999986e-02,0.00000000000000e+00,6.92141745284147e-04
5.03000000000000e-09,1.80000000000001e-01,0.00000000000000e+00,1.90606014514814e-03
5.07000000000000e-09,4.20000000000000e-01,0.00000000000000e+00,3.09586800667241e-03
5.10000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.89552998975455e-03
5.10800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.02200841162048e-03
5.12400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-4.48225985285447e-04
5.15600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.94969274979997e-03
5.22000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.26163938457986e-03
5.34800000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-1.21401315739784e-03
5.60400000000000e-09,6.00000000000000e-01,0.00000000000000e+00,-2.39038248784761e-04
6.11600000000000e-09,6.00000000000000e-01,0.00000000000000e+00,4.38402168677715e-04
7.14000000000000e-09,6.00000000000000e-01,0.00000000000000e+00,1.41775997449075e-04
8.39792590566749e-09,6.00000000000000e-01,0.00000000000000e+00,-8.69900391911871e-05
1.00000000000000e-08,6.00000000000000e-01,0.00000000000000e+00,1.67827811862017e-04
1.00100000000000e-08,6.00000000000000e-01,5.99999999999986e-02,1.86241009328361e-04
1.00300000000000e-08,6.00000000000000e-01,1.79999999999996e-01,2.12228605990378e-04
1.00700000000000e-08,6.00000000000000e-01,4.19999999999990e-01,1.86780347562185e-04
1.01000000000000e-08,6.00000000000000e-01,5.99999999999995e-01,7.68018913502033e-05
1.01080000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.53717766141404e-05
1.01240000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.06291238087908e-05
1.01560000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-5.64510417945252e-05
1.02200000000000e-08,6.00000000000000e-01,6.00000000000000e-01,-2.81913612729806e-05
1.03480000000000e-08,6.00000000000000e-01,6.00000000000000e-01,6.76926132362754e-05
1.06040000000000e-08,6.00000000000000e-01,6.00000000000000e-01,7.53122934803660e-05
1.10325385824587e-08,6.00000000000000e-01,6.00000000000000e-01,2.06026255505365e-05
1.18896157473761e-08,6.00000000000000e-01,6.00000000000000e-01,4.70616437409227e-05
1.36037700772108e-08,6.00000000000000e-01,6.00000000000000e-01,3.12513714604366e-05
1.51000000000000e-08,6.00000000000000e-01,6.00000000000000e-01,3.88926764820531e-05
1.51100000000000e-08,5.39999999999992e-01,6.00000000000000e-01,-3.64553234889001e-04
1.51300000000000e-08,4.19999999999994e-01,6.00000000000000e-01,-1.27801589426443e-03
1.51700000000000e-08,1.80000000000000e-01,6.00000000000000e-01,-2.71710468454371e-03
1.52000000000000e-08,0.00000000000000e+00,6.00000000000000e-01,-2.52605595891162e-03
